ntests,atleast,atmost,exactly
0,10000,6,6
1,9994,33,27
2,9967,85,52
3,9915,181,96
4,9819,321,140
5,9679,527,206
6,9473,716,189
7,9284,897,181
8,9103,1087,190
9,8913,1284,197
10,8716,1470,186
11,8530,1629,159
12,8371,1827,198
13,8173,2027,200
14,7973,2192,165
15,7808,2398,206
16,7602,2582,184
17,7418,2751,169
18,7249,2928,177
19,7072,3099,171
20,6901,3318,219
21,6682,3495,177
22,6505,3691,196
23,6309,3869,178
24,6131,4059,190
25,5941,4236,177
26,5764,4439,203
27,5561,4610,171
28,5390,4807,197
29,5193,4978,171
30,5022,5145,167
31,4855,5318,173
32,4682,5509,191
33,4491,5686,177
34,4314,5869,183
35,4131,6053,184
36,3947,6237,184
37,3763,6387,150
38,3613,6558,171
39,3442,6731,173
40,3269,6928,197
41,3072,7094,166
42,2906,7274,180
43,2726,7453,179
44,2547,7600,147
45,2400,7783,183
46,2217,7965,182
47,2035,8121,156
48,1879,8256,135
49,1744,8417,161
50,1583,8582,165
51,1418,8717,135
52,1283,8856,139
53,1144,9000,144
54,1000,9142,142
55,858,9240,98
56,760,9357,117
57,643,9454,97
58,546,9542,88
59,458,9622,80
60,378,9700,78
61,300,9768,68
62,232,9813,45
63,187,9848,35
64,152,9880,32
65,120,9912,32
66,88,9936,24
67,64,9951,15
68,49,9963,12
69,37,9973,10
70,27,9983,10
71,17,9987,4
72,13,9992,5
73,8,9995,3
74,5,9998,3
75,2,9998,0
76,2,10000,2
