ntests,atleast,atmost,exactly
0,10000,7,7
1,9993,47,40
2,9953,130,83
3,9870,278,148
4,9722,477,199
5,9523,710,233
6,9290,923,213
7,9077,1143,220
8,8857,1353,210
9,8647,1552,199
10,8448,1753,201
11,8247,1964,211
12,8036,2148,184
13,7852,2404,256
14,7596,2605,201
15,7395,2849,244
16,7151,3080,231
17,6920,3292,212
18,6708,3495,203
19,6505,3687,192
20,6313,3905,218
21,6095,4105,200
22,5895,4299,194
23,5701,4532,233
24,5468,4738,206
25,5262,4938,200
26,5062,5160,222
27,4840,5370,210
28,4630,5591,221
29,4409,5802,211
30,4198,5999,197
31,4001,6214,215
32,3786,6436,222
33,3564,6673,237
34,3327,6864,191
35,3136,7063,199
36,2937,7257,194
37,2743,7449,192
38,2551,7650,201
39,2350,7849,199
40,2151,8065,216
41,1935,8256,191
42,1744,8442,186
43,1558,8641,199
44,1359,8804,163
45,1196,8950,146
46,1050,9093,143
47,907,9227,134
48,773,9348,121
49,652,9461,113
50,539,9568,107
51,432,9643,75
52,357,9712,69
53,288,9775,63
54,225,9813,38
55,187,9861,48
56,139,9896,35
57,104,9921,25
58,79,9935,14
59,65,9948,13
60,52,9962,14
61,38,9975,13
62,25,9983,8
63,17,9990,7
64,10,9994,4
65,6,9997,3
66,3,9998,1
67,2,10000,2
