ntests,atleast,atmost,exactly
0,10000,143,143
1,9857,369,226
2,9631,552,183
3,9448,758,206
4,9242,946,188
5,9054,1160,214
6,8840,1370,210
7,8630,1586,216
8,8414,1786,200
9,8214,2004,218
10,7996,2249,245
11,7751,2482,233
12,7518,2714,232
13,7286,2977,263
14,7023,3260,283
15,6740,3526,266
16,6474,3812,286
17,6188,4071,259
18,5929,4324,253
19,5676,4588,264
20,5412,4864,276
21,5136,5152,288
22,4848,5437,285
23,4563,5737,300
24,4263,6028,291
25,3972,6309,281
26,3691,6600,291
27,3400,6874,274
28,3126,7157,283
29,2843,7463,306
30,2537,7761,298
31,2239,8064,303
32,1936,8345,281
33,1655,8575,230
34,1425,8841,266
35,1159,9079,238
36,921,9261,182
37,739,9445,184
38,555,9600,155
39,400,9724,124
40,276,9805,81
41,195,9873,68
42,127,9912,39
43,88,9950,38
44,50,9965,15
45,35,9978,13
46,22,9988,10
47,12,9996,8
48,4,9998,2
49,2,9998,0
50,2,9998,0
51,2,9999,1
52,1,10000,1
