ntests,atleast,atmost,exactly
0,10000,0,0
1,10000,0,0
2,10000,0,0
3,10000,0,0
4,10000,0,0
5,10000,0,0
6,10000,0,0
7,10000,0,0
8,10000,0,0
9,10000,0,0
10,10000,0,0
11,10000,0,0
12,10000,0,0
13,10000,0,0
14,10000,0,0
15,10000,0,0
16,10000,0,0
17,10000,0,0
18,10000,0,0
19,10000,0,0
20,10000,0,0
21,10000,0,0
22,10000,0,0
23,10000,0,0
24,10000,0,0
25,10000,1,1
26,9999,1,0
27,9999,3,2
28,9997,5,2
29,9995,9,4
30,9991,10,1
31,9990,22,12
32,9978,46,24
33,9954,73,27
34,9927,112,39
35,9888,169,57
36,9831,249,80
37,9751,337,88
38,9663,460,123
39,9540,651,191
40,9349,865,214
41,9135,1151,286
42,8849,1512,361
43,8488,1904,392
44,8096,2338,434
45,7662,2805,467
46,7195,3295,490
47,6705,3806,511
48,6194,4379,573
49,5621,4893,514
50,5107,5429,536
51,4571,5958,529
52,4042,6502,544
53,3498,6964,462
54,3036,7431,467
55,2569,7850,419
56,2150,8249,399
57,1751,8605,356
58,1395,8887,282
59,1113,9101,214
60,899,9286,185
61,714,9452,166
62,548,9597,145
63,403,9703,106
64,297,9773,70
65,227,9833,60
66,167,9879,46
67,121,9912,33
68,88,9936,24
69,64,9955,19
70,45,9964,9
71,36,9977,13
72,23,9985,8
73,15,9986,1
74,14,9993,7
75,7,9995,2
76,5,9998,3
77,2,9998,0
78,2,9998,0
79,2,9998,0
80,2,9998,0
81,2,9998,0
82,2,9998,0
83,2,9998,0
84,2,9998,0
85,2,9999,1
86,1,10000,1
