ntests,atleast,atmost,exactly
0,10000,87,87
1,9913,201,114
2,9799,308,107
3,9692,386,78
4,9614,489,103
5,9511,592,103
6,9408,700,108
7,9300,778,78
8,9222,865,87
9,9135,956,91
10,9044,1062,106
11,8938,1144,82
12,8856,1237,93
13,8763,1326,89
14,8674,1422,96
15,8578,1515,93
16,8485,1608,93
17,8392,1722,114
18,8278,1806,84
19,8194,1903,97
20,8097,1989,86
21,8011,2086,97
22,7914,2200,114
23,7800,2304,104
24,7696,2407,103
25,7593,2505,98
26,7495,2598,93
27,7402,2703,105
28,7297,2808,105
29,7192,2886,78
30,7114,2985,99
31,7015,3089,104
32,6911,3193,104
33,6807,3295,102
34,6705,3410,115
35,6590,3512,102
36,6488,3615,103
37,6385,3715,100
38,6285,3818,103
39,6182,3907,89
40,6093,4016,109
41,5984,4112,96
42,5888,4209,97
43,5791,4323,114
44,5677,4431,108
45,5569,4509,78
46,5491,4591,82
47,5409,4690,99
48,5310,4796,106
49,5204,4893,97
50,5107,4994,101
51,5006,5113,119
52,4887,5196,83
53,4804,5295,99
54,4705,5399,104
55,4601,5502,103
56,4498,5597,95
57,4403,5709,112
58,4291,5814,105
59,4186,5914,100
60,4086,6008,94
61,3992,6119,111
62,3881,6234,115
63,3766,6337,103
64,3663,6431,94
65,3569,6514,83
66,3486,6622,108
67,3378,6718,96
68,3282,6802,84
69,3198,6915,113
70,3085,7014,99
71,2986,7132,118
72,2868,7237,105
73,2763,7339,102
74,2661,7427,88
75,2573,7536,109
76,2464,7653,117
77,2347,7750,97
78,2250,7839,89
79,2161,7941,102
80,2059,8039,98
81,1961,8111,72
82,1889,8198,87
83,1802,8290,92
84,1710,8382,92
85,1618,8476,94
86,1524,8581,105
87,1419,8693,112
88,1307,8799,106
89,1201,8894,95
90,1106,8980,86
91,1020,9076,96
92,924,9158,82
93,842,9233,75
94,767,9308,75
95,692,9385,77
96,615,9465,80
97,535,9519,54
98,481,9574,55
99,426,9633,59
100,367,9690,57
101,310,9729,39
102,271,9759,30
103,241,9781,22
104,219,9814,33
105,186,9837,23
106,163,9856,19
107,144,9876,20
108,124,9893,17
109,107,9907,14
110,93,9920,13
111,80,9930,10
112,70,9941,11
113,59,9947,6
114,53,9957,10
115,43,9966,9
116,34,9974,8
117,26,9980,6
118,20,9983,3
119,17,9987,4
120,13,9991,4
121,9,9992,1
122,8,9994,2
123,6,9996,2
124,4,9997,1
125,3,9997,0
126,3,9997,0
127,3,9998,1
128,2,9999,1
129,1,9999,0
130,1,10000,1
