ntests,atleast,atmost,exactly
0,10000,0,0
1,10000,0,0
2,10000,0,0
3,10000,0,0
4,10000,0,0
5,10000,0,0
6,10000,0,0
7,10000,0,0
8,10000,0,0
9,10000,0,0
10,10000,0,0
11,10000,0,0
12,10000,0,0
13,10000,0,0
14,10000,0,0
15,10000,0,0
16,10000,0,0
17,10000,0,0
18,10000,0,0
19,10000,0,0
20,10000,0,0
21,10000,0,0
22,10000,0,0
23,10000,0,0
24,10000,0,0
25,10000,0,0
26,10000,0,0
27,10000,0,0
28,10000,0,0
29,10000,0,0
30,10000,0,0
31,10000,1,1
32,9999,2,1
33,9998,3,1
34,9997,6,3
35,9994,14,8
36,9986,20,6
37,9980,33,13
38,9967,49,16
39,9951,64,15
40,9936,86,22
41,9914,117,31
42,9883,152,35
43,9848,207,55
44,9793,252,45
45,9748,300,48
46,9700,343,43
47,9657,402,59
48,9598,452,50
49,9548,531,79
50,9469,593,62
51,9407,650,57
52,9350,705,55
53,9295,752,47
54,9248,810,58
55,9190,849,39
56,9151,882,33
57,9118,908,26
58,9092,938,30
59,9062,955,17
60,9045,983,28
61,9017,996,13
62,9004,1013,17
63,8987,1023,10
64,8977,1029,6
65,8971,1033,4
66,8967,1038,5
67,8962,1039,1
68,8961,1041,2
69,8959,1043,2
70,8957,1044,1
71,8956,1044,0
72,8956,1044,0
73,8956,1048,4
74,8952,1050,2
75,8950,1051,1
76,8949,1054,3
77,8946,1056,2
78,8944,1063,7
79,8937,1072,9
80,8928,1078,6
81,8922,1088,10
82,8912,1100,12
83,8900,1105,5
84,8895,1119,14
85,8881,1135,16
86,8865,1152,17
87,8848,1167,15
88,8833,1186,19
89,8814,1209,23
90,8791,1245,36
91,8755,1279,34
92,8721,1307,28
93,8693,1345,38
94,8655,1376,31
95,8624,1422,46
96,8578,1472,50
97,8528,1511,39
98,8489,1562,51
99,8438,1593,31
100,8407,1640,47
101,8360,1674,34
102,8326,1705,31
103,8295,1746,41
104,8254,1781,35
105,8219,1813,32
106,8187,1851,38
107,8149,1877,26
108,8123,1897,20
109,8103,1915,18
110,8085,1940,25
111,8060,1954,14
112,8046,1968,14
113,8032,1985,17
114,8015,1997,12
115,8003,2011,14
116,7989,2020,9
117,7980,2027,7
118,7973,2035,8
119,7965,2037,2
120,7963,2044,7
121,7956,2049,5
122,7951,2052,3
123,7948,2055,3
124,7945,2063,8
125,7937,2070,7
126,7930,2080,10
127,7920,2088,8
128,7912,2100,12
129,7900,2112,12
130,7888,2121,9
131,7879,2133,12
132,7867,2146,13
133,7854,2158,12
134,7842,2170,12
135,7830,2189,19
136,7811,2205,16
137,7795,2222,17
138,7778,2258,36
139,7742,2287,29
140,7713,2319,32
141,7681,2345,26
142,7655,2373,28
143,7627,2398,25
144,7602,2427,29
145,7573,2463,36
146,7537,2500,37
147,7500,2528,28
148,7472,2552,24
149,7448,2590,38
150,7410,2624,34
151,7376,2657,33
152,7343,2684,27
153,7316,2711,27
154,7289,2751,40
155,7249,2784,33
156,7216,2812,28
157,7188,2831,19
158,7169,2856,25
159,7144,2873,17
160,7127,2889,16
161,7111,2912,23
162,7088,2926,14
163,7074,2943,17
164,7057,2959,16
165,7041,2974,15
166,7026,2994,20
167,7006,3006,12
168,6994,3018,12
169,6982,3028,10
170,6972,3042,14
171,6958,3052,10
172,6948,3069,17
173,6931,3079,10
174,6921,3087,8
175,6913,3101,14
176,6899,3118,17
177,6882,3128,10
178,6872,3139,11
179,6861,3152,13
180,6848,3172,20
181,6828,3185,13
182,6815,3194,9
183,6806,3212,18
184,6788,3235,23
185,6765,3254,19
186,6746,3273,19
187,6727,3295,22
188,6705,3320,25
189,6680,3352,32
190,6648,3381,29
191,6619,3403,22
192,6597,3433,30
193,6567,3461,28
194,6539,3491,30
195,6509,3521,30
196,6479,3554,33
197,6446,3585,31
198,6415,3602,17
199,6398,3634,32
200,6366,3657,23
201,6343,3684,27
202,6316,3710,26
203,6290,3732,22
204,6268,3753,21
205,6247,3773,20
206,6227,3800,27
207,6200,3813,13
208,6187,3827,14
209,6173,3850,23
210,6150,3868,18
211,6132,3889,21
212,6111,3902,13
213,6098,3914,12
214,6086,3930,16
215,6070,3945,15
216,6055,3956,11
217,6044,3975,19
218,6025,3989,14
219,6011,4006,17
220,5994,4017,11
221,5983,4038,21
222,5962,4052,14
223,5948,4062,10
224,5938,4072,10
225,5928,4088,16
226,5912,4108,20
227,5892,4126,18
228,5874,4143,17
229,5857,4165,22
230,5835,4179,14
231,5821,4191,12
232,5809,4212,21
233,5788,4234,22
234,5766,4252,18
235,5748,4272,20
236,5728,4289,17
237,5711,4320,31
238,5680,4353,33
239,5647,4382,29
240,5618,4405,23
241,5595,4430,25
242,5570,4460,30
243,5540,4488,28
244,5512,4515,27
245,5485,4541,26
246,5459,4570,29
247,5430,4597,27
248,5403,4634,37
249,5366,4654,20
250,5346,4677,23
251,5323,4711,34
252,5289,4729,18
253,5271,4751,22
254,5249,4769,18
255,5231,4790,21
256,5210,4812,22
257,5188,4837,25
258,5163,4862,25
259,5138,4881,19
260,5119,4897,16
261,5103,4920,23
262,5080,4942,22
263,5058,4966,24
264,5034,4988,22
265,5012,5002,14
266,4998,5012,10
267,4988,5027,15
268,4973,5039,12
269,4961,5062,23
270,4938,5074,12
271,4926,5089,15
272,4911,5111,22
273,4889,5129,18
274,4871,5148,19
275,4852,5159,11
276,4841,5171,12
277,4829,5191,20
278,4809,5215,24
279,4785,5231,16
280,4769,5253,22
281,4747,5276,23
282,4724,5301,25
283,4699,5320,19
284,4680,5344,24
285,4656,5371,27
286,4629,5394,23
287,4606,5416,22
288,4584,5437,21
289,4563,5463,26
290,4537,5486,23
291,4514,5510,24
292,4490,5528,18
293,4472,5552,24
294,4448,5577,25
295,4423,5610,33
296,4390,5630,20
297,4370,5658,28
298,4342,5681,23
299,4319,5707,26
300,4293,5733,26
301,4267,5757,24
302,4243,5775,18
303,4225,5801,26
304,4199,5825,24
305,4175,5839,14
306,4161,5855,16
307,4145,5879,24
308,4121,5893,14
309,4107,5913,20
310,4087,5936,23
311,4064,5954,18
312,4046,5972,18
313,4028,5990,18
314,4010,6009,19
315,3991,6027,18
316,3973,6045,18
317,3955,6062,17
318,3938,6071,9
319,3929,6087,16
320,3913,6103,16
321,3897,6114,11
322,3886,6129,15
323,3871,6148,19
324,3852,6164,16
325,3836,6183,19
326,3817,6203,20
327,3797,6229,26
328,3771,6247,18
329,3753,6264,17
330,3736,6295,31
331,3705,6311,16
332,3689,6334,23
333,3666,6359,25
334,3641,6373,14
335,3627,6394,21
336,3606,6407,13
337,3593,6427,20
338,3573,6450,23
339,3550,6473,23
340,3527,6495,22
341,3505,6518,23
342,3482,6533,15
343,3467,6552,19
344,3448,6577,25
345,3423,6607,30
346,3393,6625,18
347,3375,6651,26
348,3349,6672,21
349,3328,6692,20
350,3308,6713,21
351,3287,6740,27
352,3260,6759,19
353,3241,6778,19
354,3222,6801,23
355,3199,6826,25
356,3174,6846,20
357,3154,6875,29
358,3125,6899,24
359,3101,6918,19
360,3082,6948,30
361,3052,6965,17
362,3035,6983,18
363,3017,7004,21
364,2996,7023,19
365,2977,7038,15
366,2962,7068,30
367,2932,7089,21
368,2911,7116,27
369,2884,7138,22
370,2862,7152,14
371,2848,7178,26
372,2822,7202,24
373,2798,7230,28
374,2770,7245,15
375,2755,7268,23
376,2732,7288,20
377,2712,7306,18
378,2694,7329,23
379,2671,7354,25
380,2646,7379,25
381,2621,7396,17
382,2604,7412,16
383,2588,7433,21
384,2567,7451,18
385,2549,7476,25
386,2524,7492,16
387,2508,7521,29
388,2479,7543,22
389,2457,7568,25
390,2432,7594,26
391,2406,7621,27
392,2379,7642,21
393,2358,7667,25
394,2333,7681,14
395,2319,7706,25
396,2294,7728,22
397,2272,7746,18
398,2254,7773,27
399,2227,7790,17
400,2210,7809,19
401,2191,7830,21
402,2170,7846,16
403,2154,7868,22
404,2132,7889,21
405,2111,7912,23
406,2088,7935,23
407,2065,7949,14
408,2051,7964,15
409,2036,7983,19
410,2017,8006,23
411,1994,8023,17
412,1977,8041,18
413,1959,8065,24
414,1935,8085,20
415,1915,8106,21
416,1894,8126,20
417,1874,8153,27
418,1847,8173,20
419,1827,8188,15
420,1812,8211,23
421,1789,8232,21
422,1768,8253,21
423,1747,8277,24
424,1723,8299,22
425,1701,8324,25
426,1676,8341,17
427,1659,8353,12
428,1647,8380,27
429,1620,8398,18
430,1602,8415,17
431,1585,8439,24
432,1561,8459,20
433,1541,8484,25
434,1516,8507,23
435,1493,8537,30
436,1463,8559,22
437,1441,8581,22
438,1419,8603,22
439,1397,8625,22
440,1375,8639,14
441,1361,8666,27
442,1334,8690,24
443,1310,8709,19
444,1291,8729,20
445,1271,8747,18
446,1253,8771,24
447,1229,8799,28
448,1201,8825,26
449,1175,8844,19
450,1156,8865,21
451,1135,8879,14
452,1121,8900,21
453,1100,8929,29
454,1071,8957,28
455,1043,8974,17
456,1026,8993,19
457,1007,9012,19
458,988,9037,25
459,963,9053,16
460,947,9076,23
461,924,9092,16
462,908,9110,18
463,890,9129,19
464,871,9145,16
465,855,9164,19
466,836,9188,24
467,812,9211,23
468,789,9228,17
469,772,9243,15
470,757,9261,18
471,739,9286,25
472,714,9304,18
473,696,9326,22
474,674,9344,18
475,656,9371,27
476,629,9391,20
477,609,9411,20
478,589,9432,21
479,568,9453,21
480,547,9479,26
481,521,9504,25
482,496,9526,22
483,474,9545,19
484,455,9560,15
485,440,9576,16
486,424,9592,16
487,408,9613,21
488,387,9631,18
489,369,9651,20
490,349,9670,19
491,330,9687,17
492,313,9710,23
493,290,9732,22
494,268,9745,13
495,255,9760,15
496,240,9782,22
497,218,9796,14
498,204,9809,13
499,191,9822,13
500,178,9834,12
501,166,9847,13
502,153,9858,11
503,142,9868,10
504,132,9875,7
505,125,9880,5
506,120,9890,10
507,110,9899,9
508,101,9907,8
509,93,9915,8
510,85,9919,4
511,81,9930,11
512,70,9932,2
513,68,9939,7
514,61,9942,3
515,58,9946,4
516,54,9948,2
517,52,9950,2
518,50,9959,9
519,41,9967,8
520,33,9970,3
521,30,9973,3
522,27,9976,3
523,24,9976,0
524,24,9980,4
525,20,9980,0
526,20,9981,1
527,19,9982,1
528,18,9983,1
529,17,9986,3
530,14,9987,1
531,13,9988,1
532,12,9990,2
533,10,9991,1
534,9,9992,1
535,8,9992,0
536,8,9992,0
537,8,9993,1
538,7,9993,0
539,7,9994,1
540,6,9996,2
541,4,9996,0
542,4,9998,2
543,2,9998,0
544,2,9998,0
545,2,9998,0
546,2,9998,0
547,2,9999,1
548,1,10000,1
