ntests,atleast,atmost,exactly
0,10000,9,9
1,9991,26,17
2,9974,39,13
3,9961,47,8
4,9953,57,10
5,9943,66,9
6,9934,82,16
7,9918,93,11
8,9907,99,6
9,9901,110,11
10,9890,117,7
11,9883,125,8
12,9875,137,12
13,9863,146,9
14,9854,161,15
15,9839,168,7
16,9832,173,5
17,9827,183,10
18,9817,197,14
19,9803,209,12
20,9791,217,8
21,9783,229,12
22,9771,243,14
23,9757,249,6
24,9751,255,6
25,9745,269,14
26,9731,278,9
27,9722,290,12
28,9710,303,13
29,9697,314,11
30,9686,324,10
31,9676,335,11
32,9665,340,5
33,9660,349,9
34,9651,353,4
35,9647,361,8
36,9639,366,5
37,9634,378,12
38,9622,392,14
39,9608,398,6
40,9602,411,13
41,9589,423,12
42,9577,431,8
43,9569,444,13
44,9556,459,15
45,9541,469,10
46,9531,476,7
47,9524,489,13
48,9511,500,11
49,9500,509,9
50,9491,518,9
51,9482,526,8
52,9474,539,13
53,9461,547,8
54,9453,551,4
55,9449,557,6
56,9443,563,6
57,9437,571,8
58,9429,581,10
59,9419,591,10
60,9409,601,10
61,9399,612,11
62,9388,623,11
63,9377,640,17
64,9360,652,12
65,9348,662,10
66,9338,678,16
67,9322,688,10
68,9312,702,14
69,9298,713,11
70,9287,723,10
71,9277,726,3
72,9274,739,13
73,9261,749,10
74,9251,758,9
75,9242,763,5
76,9237,773,10
77,9227,784,11
78,9216,789,5
79,9211,793,4
80,9207,804,11
81,9196,811,7
82,9189,818,7
83,9182,827,9
84,9173,841,14
85,9159,851,10
86,9149,861,10
87,9139,868,7
88,9132,873,5
89,9127,884,11
90,9116,893,9
91,9107,901,8
92,9099,911,10
93,9089,925,14
94,9075,935,10
95,9065,948,13
96,9052,961,13
97,9039,973,12
98,9027,983,10
99,9017,992,9
100,9008,1007,15
101,8993,1012,5
102,8988,1021,9
103,8979,1027,6
104,8973,1039,12
105,8961,1048,9
106,8952,1060,12
107,8940,1066,6
108,8934,1073,7
109,8927,1082,9
110,8918,1092,10
111,8908,1097,5
112,8903,1107,10
113,8893,1121,14
114,8879,1131,10
115,8869,1140,9
116,8860,1149,9
117,8851,1159,10
118,8841,1167,8
119,8833,1184,17
120,8816,1195,11
121,8805,1208,13
122,8792,1216,8
123,8784,1225,9
124,8775,1229,4
125,8771,1240,11
126,8760,1245,5
127,8755,1260,15
128,8740,1269,9
129,8731,1278,9
130,8722,1290,12
131,8710,1300,10
132,8700,1306,6
133,8694,1317,11
134,8683,1327,10
135,8673,1338,11
136,8662,1348,10
137,8652,1359,11
138,8641,1369,10
139,8631,1378,9
140,8622,1389,11
141,8611,1395,6
142,8605,1408,13
143,8592,1421,13
144,8579,1426,5
145,8574,1433,7
146,8567,1442,9
147,8558,1448,6
148,8552,1461,13
149,8539,1477,16
150,8523,1490,13
151,8510,1501,11
152,8499,1512,11
153,8488,1524,12
154,8476,1532,8
155,8468,1547,15
156,8453,1556,9
157,8444,1564,8
158,8436,1576,12
159,8424,1591,15
160,8409,1601,10
