ntests,atleast,atmost,exactly
0,10000,0,0
1,10000,0,0
2,10000,0,0
3,10000,0,0
4,10000,0,0
5,10000,0,0
6,10000,0,0
7,10000,0,0
8,10000,0,0
9,10000,0,0
10,10000,0,0
11,10000,0,0
12,10000,0,0
13,10000,0,0
14,10000,0,0
15,10000,0,0
16,10000,0,0
17,10000,0,0
18,10000,0,0
19,10000,0,0
20,10000,0,0
21,10000,0,0
22,10000,0,0
23,10000,0,0
24,10000,0,0
25,10000,0,0
26,10000,0,0
27,10000,1,1
28,9999,1,0
29,9999,2,1
30,9998,3,1
31,9997,3,0
32,9997,3,0
33,9997,4,1
34,9996,8,4
35,9992,11,3
36,9989,18,7
37,9982,27,9
38,9973,35,8
39,9965,51,16
40,9949,65,14
41,9935,87,22
42,9913,111,24
43,9889,141,30
44,9859,177,36
45,9823,212,35
46,9788,258,46
47,9742,305,47
48,9695,371,66
49,9629,431,60
50,9569,485,54
51,9515,535,50
52,9465,595,60
53,9405,652,57
54,9348,700,48
55,9300,746,46
56,9254,789,43
57,9211,825,36
58,9175,864,39
59,9136,883,19
60,9117,904,21
61,9096,923,19
62,9077,937,14
63,9063,951,14
64,9049,965,14
65,9035,976,11
66,9024,982,6
67,9018,985,3
68,9015,987,2
69,9013,988,1
70,9012,990,2
71,9010,990,0
72,9010,991,1
73,9009,991,0
74,9009,993,2
75,9007,994,1
76,9006,994,0
77,9006,995,1
78,9005,1001,6
79,8999,1005,4
80,8995,1008,3
81,8992,1012,4
82,8988,1022,10
83,8978,1029,7
84,8971,1037,8
85,8963,1050,13
86,8950,1062,12
87,8938,1083,21
88,8917,1104,21
89,8896,1121,17
90,8879,1146,25
91,8854,1181,35
92,8819,1213,32
93,8787,1244,31
94,8756,1278,34
95,8722,1305,27
96,8695,1353,48
97,8647,1393,40
98,8607,1430,37
99,8570,1471,41
100,8529,1514,43
101,8486,1545,31
102,8455,1593,48
103,8407,1626,33
104,8374,1672,46
105,8328,1704,32
106,8296,1733,29
107,8267,1772,39
108,8228,1801,29
109,8199,1832,31
110,8168,1875,43
111,8125,1897,22
112,8103,1915,18
113,8085,1933,18
114,8067,1957,24
115,8043,1976,19
116,8024,1989,13
117,8011,1997,8
118,8003,2004,7
119,7996,2013,9
120,7987,2022,9
121,7978,2036,14
122,7964,2040,4
123,7960,2047,7
124,7953,2054,7
125,7946,2059,5
126,7941,2064,5
127,7936,2070,6
128,7930,2082,12
129,7918,2088,6
130,7912,2099,11
131,7901,2108,9
132,7892,2119,11
133,7881,2128,9
134,7872,2149,21
135,7851,2168,19
136,7832,2178,10
137,7822,2195,17
138,7805,2208,13
139,7792,2227,19
140,7773,2250,23
141,7750,2271,21
142,7729,2294,23
143,7706,2313,19
144,7687,2335,22
145,7665,2354,19
146,7646,2383,29
147,7617,2418,35
148,7582,2465,47
149,7535,2498,33
150,7502,2523,25
151,7477,2550,27
152,7450,2579,29
153,7421,2611,32
154,7389,2647,36
155,7353,2675,28
156,7325,2703,28
157,7297,2732,29
158,7268,2757,25
159,7243,2778,21
160,7222,2807,29
161,7193,2835,28
162,7165,2852,17
163,7148,2867,15
164,7133,2881,14
165,7119,2899,18
166,7101,2921,22
167,7079,2946,25
168,7054,2968,22
169,7032,2986,18
170,7014,2998,12
171,7002,3008,10
172,6992,3015,7
173,6985,3024,9
174,6976,3038,14
175,6962,3045,7
176,6955,3053,8
177,6947,3066,13
178,6934,3072,6
179,6928,3079,7
180,6921,3089,10
181,6911,3104,15
182,6896,3120,16
183,6880,3128,8
184,6872,3137,9
185,6863,3150,13
186,6850,3166,16
187,6834,3183,17
188,6817,3192,9
189,6808,3224,32
190,6776,3242,18
191,6758,3268,26
192,6732,3291,23
193,6709,3320,29
194,6680,3339,19
195,6661,3366,27
196,6634,3391,25
197,6609,3422,31
198,6578,3436,14
199,6564,3470,34
200,6530,3497,27
201,6503,3521,24
202,6479,3553,32
203,6447,3587,34
204,6413,3608,21
205,6392,3639,31
206,6361,3665,26
207,6335,3686,21
208,6314,3716,30
209,6284,3737,21
210,6263,3765,28
211,6235,3791,26
212,6209,3812,21
213,6188,3828,16
214,6172,3845,17
215,6155,3864,19
216,6136,3886,22
217,6114,3901,15
218,6099,3917,16
219,6083,3933,16
220,6067,3946,13
221,6054,3962,16
222,6038,3975,13
223,6025,3982,7
224,6018,3994,12
225,6006,4011,17
226,5989,4027,16
227,5973,4039,12
228,5961,4050,11
229,5950,4060,10
230,5940,4075,15
231,5925,4090,15
232,5910,4097,7
233,5903,4111,14
234,5889,4124,13
235,5876,4138,14
236,5862,4156,18
237,5844,4178,22
238,5822,4200,22
239,5800,4225,25
240,5775,4244,19
241,5756,4266,22
242,5734,4280,14
243,5720,4296,16
244,5704,4319,23
245,5681,4342,23
246,5658,4365,23
247,5635,4393,28
248,5607,4420,27
249,5580,4442,22
250,5558,4467,25
251,5533,4495,28
252,5505,4529,34
253,5471,4551,22
254,5449,4578,27
255,5422,4608,30
256,5392,4634,26
257,5366,4652,18
258,5348,4676,24
259,5324,4706,30
260,5294,4740,34
261,5260,4762,22
262,5238,4784,22
263,5216,4805,21
264,5195,4825,20
265,5175,4837,12
266,5163,4856,19
267,5144,4873,17
268,5127,4892,19
269,5108,4905,13
270,5095,4923,18
271,5077,4939,16
272,5061,4964,25
273,5036,4984,20
274,5016,5007,23
275,4993,5018,11
276,4982,5031,13
277,4969,5047,16
278,4953,5064,17
279,4936,5077,13
280,4923,5094,17
281,4906,5110,16
282,4890,5132,22
283,4868,5149,17
284,4851,5162,13
285,4838,5177,15
286,4823,5192,15
287,4808,5205,13
288,4795,5223,18
289,4777,5246,23
290,4754,5261,15
291,4739,5281,20
292,4719,5301,20
293,4699,5321,20
294,4679,5349,28
295,4651,5369,20
296,4631,5391,22
297,4609,5416,25
298,4584,5436,20
299,4564,5458,22
300,4542,5481,23
301,4519,5495,14
302,4505,5517,22
303,4483,5541,24
304,4459,5568,27
305,4432,5595,27
306,4405,5622,27
307,4378,5647,25
308,4353,5672,25
309,4328,5692,20
310,4308,5709,17
311,4291,5729,20
312,4271,5745,16
313,4255,5766,21
314,4234,5789,23
315,4211,5818,29
316,4182,5831,13
317,4169,5848,17
318,4152,5867,19
319,4133,5892,25
320,4108,5917,25
321,4083,5939,22
322,4061,5955,16
323,4045,5973,18
324,4027,5982,9
325,4018,5998,16
326,4002,6011,13
327,3989,6025,14
328,3975,6032,7
329,3968,6051,19
330,3949,6065,14
331,3935,6081,16
332,3919,6099,18
333,3901,6119,20
334,3881,6136,17
335,3864,6150,14
336,3850,6167,17
337,3833,6183,16
338,3817,6200,17
339,3800,6221,21
340,3779,6235,14
341,3765,6247,12
342,3753,6265,18
343,3735,6285,20
344,3715,6301,16
345,3699,6338,37
346,3662,6359,21
347,3641,6385,26
348,3615,6414,29
349,3586,6442,28
350,3558,6477,35
351,3523,6504,27
352,3496,6523,19
353,3477,6539,16
354,3461,6554,15
355,3446,6569,15
356,3431,6589,20
357,3411,6614,25
358,3386,6627,13
359,3373,6645,18
360,3355,6672,27
361,3328,6687,15
362,3313,6704,17
363,3296,6727,23
364,3273,6748,21
365,3252,6769,21
366,3231,6785,16
367,3215,6805,20
368,3195,6823,18
369,3177,6846,23
370,3154,6868,22
371,3132,6887,19
372,3113,6901,14
373,3099,6919,18
374,3081,6937,18
375,3063,6958,21
376,3042,6973,15
377,3027,6987,14
378,3013,7008,21
379,2992,7025,17
380,2975,7040,15
381,2960,7053,13
382,2947,7073,20
383,2927,7089,16
384,2911,7109,20
385,2891,7133,24
386,2867,7151,18
387,2849,7174,23
388,2826,7198,24
389,2802,7212,14
390,2788,7241,29
391,2759,7266,25
392,2734,7282,16
393,2718,7301,19
394,2699,7322,21
395,2678,7341,19
396,2659,7362,21
397,2638,7382,20
398,2618,7399,17
399,2601,7423,24
400,2577,7444,21
401,2556,7459,15
402,2541,7477,18
403,2523,7495,18
404,2505,7513,18
405,2487,7536,23
406,2464,7559,23
407,2441,7579,20
408,2421,7603,24
409,2397,7624,21
410,2376,7651,27
411,2349,7676,25
412,2324,7701,25
413,2299,7727,26
414,2273,7751,24
415,2249,7775,24
416,2225,7788,13
417,2212,7804,16
418,2196,7822,18
419,2178,7842,20
420,2158,7865,23
421,2135,7886,21
422,2114,7904,18
423,2096,7919,15
424,2081,7939,20
425,2061,7962,23
426,2038,7985,23
427,2015,7998,13
428,2002,8019,21
429,1981,8034,15
430,1966,8055,21
431,1945,8069,14
432,1931,8089,20
433,1911,8112,23
434,1888,8132,20
435,1868,8157,25
436,1843,8170,13
437,1830,8187,17
438,1813,8201,14
439,1799,8219,18
440,1781,8240,21
441,1760,8259,19
442,1741,8281,22
443,1719,8299,18
444,1701,8325,26
445,1675,8350,25
446,1650,8371,21
447,1629,8392,21
448,1608,8410,18
449,1590,8438,28
450,1562,8461,23
451,1539,8485,24
452,1515,8509,24
453,1491,8533,24
454,1467,8545,12
455,1455,8562,17
456,1438,8582,20
457,1418,8602,20
458,1398,8621,19
459,1379,8646,25
460,1354,8663,17
461,1337,8688,25
462,1312,8704,16
463,1296,8724,20
464,1276,8744,20
465,1256,8773,29
466,1227,8792,19
467,1208,8809,17
468,1191,8829,20
469,1171,8847,18
470,1153,8873,26
471,1127,8898,25
472,1102,8915,17
473,1085,8924,9
474,1076,8944,20
475,1056,8965,21
476,1035,8988,23
477,1012,9015,27
478,985,9037,22
479,963,9052,15
480,948,9068,16
481,932,9086,18
482,914,9101,15
483,899,9123,22
484,877,9141,18
485,859,9164,23
486,836,9177,13
487,823,9196,19
488,804,9211,15
489,789,9227,16
490,773,9245,18
491,755,9264,19
492,736,9281,17
493,719,9309,28
494,691,9324,15
495,676,9340,16
496,660,9372,32
497,628,9386,14
498,614,9397,11
499,603,9422,25
500,578,9444,22
501,556,9459,15
502,541,9484,25
503,516,9511,27
504,489,9535,24
505,465,9551,16
506,449,9571,20
507,429,9584,13
508,416,9603,19
509,397,9622,19
510,378,9635,13
511,365,9643,8
512,357,9655,12
513,345,9676,21
514,324,9696,20
515,304,9705,9
516,295,9719,14
517,281,9741,22
518,259,9750,9
519,250,9764,14
520,236,9775,11
521,225,9791,16
522,209,9806,15
523,194,9824,18
524,176,9832,8
525,168,9838,6
526,162,9849,11
527,151,9860,11
528,140,9871,11
529,129,9882,11
530,118,9890,8
531,110,9899,9
532,101,9903,4
533,97,9909,6
534,91,9914,5
535,86,9921,7
536,79,9929,8
537,71,9933,4
538,67,9936,3
539,64,9944,8
540,56,9953,9
541,47,9955,2
542,45,9959,4
543,41,9963,4
544,37,9966,3
545,34,9969,3
546,31,9970,1
547,30,9971,1
548,29,9973,2
549,27,9974,1
550,26,9976,2
551,24,9980,4
552,20,9984,4
553,16,9987,3
554,13,9989,2
555,11,9989,0
556,11,9989,0
557,11,9990,1
558,10,9992,2
559,8,9992,0
560,8,9994,2
561,6,9994,0
562,6,9995,1
563,5,9995,0
564,5,9995,0
565,5,9995,0
566,5,9996,1
567,4,9998,2
568,2,9999,1
569,1,9999,0
570,1,9999,0
571,1,10000,1
