mutant,killedbynt
6619,4
4486,6
315,9
1309,5
3782,5
6276,8
3700,4
4256,7
983,2
6598,5
6339,6
5904,2
3078,5
6167,4
8799,6
4579,7
3141,7
1175,9
1597,3
1922,3
9380,5
1917,8
8621,8
9118,3
2438,11
1894,4
5246,12
9795,6
1653,9
7833,6
127,6
4119,6
3924,6
4785,5
7679,6
3194,4
5448,4
7347,8
1657,3
7161,10
7675,7
9588,3
446,3
5683,4
6127,3
4997,6
546,6
5271,5
5519,8
6854,8
5845,11
2548,6
2212,1
3677,4
5017,7
6188,11
9131,9
4115,10
7467,6
8904,4
7831,2
1127,1
3824,6
1715,5
1251,2
3595,7
4415,4
507,3
9710,6
6944,6
6974,8
7597,3
9203,8
5354,6
5799,4
7171,6
5344,2
4122,2
8026,6
8152,3
2932,3
0,7
4855,7
5326,9
8724,5
7324,5
2606,9
8373,9
4538,3
2810,6
7275,4
7003,1
8826,5
3140,7
5738,5
8762,1
5901,5
5331,7
237,4
1513,8
1819,6
1595,6
8166,3
3218,3
870,2
8825,7
5650,5
8250,6
5113,5
4863,5
3381,6
3020,3
9910,4
493,5
8750,5
2625,2
3283,5
4293,4
4356,12
6737,5
5340,10
8358,6
915,3
213,7
8824,4
7251,9
9421,8
1382,2
9960,8
2753,3
1219,5
5706,8
8523,9
9246,7
4891,7
7650,6
9500,4
5917,5
6843,5
2244,0
8034,9
5359,6
6440,5
7945,4
4542,2
4250,2
506,5
7281,6
2807,8
8887,1
1913,4
3725,6
5076,6
5788,8
4601,4
5121,7
7230,6
3736,9
5871,3
6878,4
7811,4
5123,4
6528,4
7048,8
8239,6
8538,8
4169,6
9399,6
765,7
6765,5
8215,3
5828,4
355,5
5500,6
6447,7
6513,8
8456,4
2347,11
4174,2
6895,5
7832,10
5740,5
3531,6
4929,9
1857,11
5321,11
3752,4
418,3
733,6
1950,7
9849,2
4309,3
8925,5
6891,6
2990,5
582,3
5567,6
6187,8
4566,6
9984,5
2871,0
5124,4
5797,6
1742,8
2020,7
1777,5
2235,4
4784,7
6535,6
3360,2
9552,8
9271,4
2446,7
2605,4
7976,7
7526,6
3976,3
2315,7
7278,7
4733,7
5336,4
3280,2
973,2
7203,5
2900,4
359,7
9546,6
9064,8
1580,4
5784,5
9290,5
5884,3
3291,7
8742,6
9715,3
2195,4
1032,6
6917,9
5912,2
5269,2
3821,4
6802,6
1326,5
3188,6
3515,3
4559,4
1434,6
2654,5
2684,5
8596,8
4593,4
8725,8
7485,5
1604,7
4175,3
219,5
4592,10
4085,5
421,7
6583,9
7871,5
8014,8
3265,6
5210,4
30,3
1736,10
8042,3
9305,3
2995,4
6058,3
7340,10
6703,3
1539,3
3199,4
7764,6
9573,3
7207,10
6734,5
5818,3
9888,5
3016,8
7075,6
1962,5
5256,10
905,5
9447,2
6732,5
7052,7
8974,9
2526,5
5101,1
3430,4
9068,2
7604,3
6155,9
1892,7
6904,2
7163,7
9101,1
8322,3
563,5
2535,7
4543,9
4331,4
7017,8
2248,3
8229,2
1995,3
8602,7
459,7
4583,2
9645,6
9133,6
7671,6
7231,8
3138,4
5900,8
3120,8
577,5
795,4
6925,8
2663,10
