ntests,atleast,atmost,exactly
0,10000,9877,9877
1,123,9901,24
2,99,9907,6
3,93,9907,0
4,93,9907,0
5,93,9907,0
6,93,9907,0
7,93,9907,0
8,93,9907,0
9,93,9907,0
10,93,9907,0
11,93,9907,0
12,93,9907,0
13,93,9907,0
14,93,9907,0
15,93,9907,0
16,93,9907,0
17,93,9907,0
18,93,9907,0
19,93,9907,0
20,93,9907,0
21,93,9907,0
22,93,9907,0
23,93,9907,0
24,93,9907,0
25,93,9907,0
26,93,9907,0
27,93,9907,0
28,93,9907,0
29,93,9907,0
30,93,9907,0
31,93,9908,1
32,92,9908,0
33,92,9909,1
34,91,9909,0
35,91,9910,1
36,90,9913,3
37,87,9914,1
38,86,9916,2
39,84,9918,2
40,82,9919,1
41,81,9920,1
42,80,9922,2
43,78,9924,2
44,76,9928,4
45,72,9935,7
46,65,9939,4
47,61,9943,4
48,57,9945,2
49,55,9948,3
50,52,9953,5
51,47,9958,5
52,42,9962,4
53,38,9964,2
54,36,9968,4
55,32,9972,4
56,28,9975,3
57,25,9981,6
58,19,9983,2
59,17,9986,3
60,14,9987,1
61,13,9988,1
62,12,9991,3
63,9,9991,0
64,9,9993,2
65,7,9994,1
66,6,9996,2
67,4,9996,0
68,4,9997,1
69,3,9998,1
70,2,9999,1
71,1,9999,0
72,1,9999,0
73,1,9999,0
74,1,9999,0
75,1,10000,1
