ntests,atleast,atmost,exactly
0,10000,9992,9992
1,8,9992,0
2,8,9992,0
3,8,9992,0
4,8,9992,0
5,8,9992,0
6,8,9992,0
7,8,9992,0
8,8,9992,0
9,8,9992,0
10,8,9992,0
11,8,9992,0
12,8,9992,0
13,8,9992,0
14,8,9992,0
15,8,9992,0
16,8,9992,0
17,8,9992,0
18,8,9992,0
19,8,9992,0
20,8,9992,0
21,8,9992,0
22,8,9992,0
23,8,9992,0
24,8,9992,0
25,8,9992,0
26,8,9992,0
27,8,9992,0
28,8,9992,0
29,8,9992,0
30,8,9992,0
31,8,9992,0
32,8,9992,0
33,8,9992,0
34,8,9992,0
35,8,9992,0
36,8,9992,0
37,8,9992,0
38,8,9992,0
39,8,9992,0
40,8,9992,0
41,8,9992,0
42,8,9992,0
43,8,9993,1
44,7,9993,0
45,7,9994,1
46,6,9994,0
47,6,9994,0
48,6,9994,0
49,6,9994,0
50,6,9994,0
51,6,9994,0
52,6,9994,0
53,6,9995,1
54,5,9995,0
55,5,9995,0
56,5,9995,0
57,5,9995,0
58,5,9995,0
59,5,9995,0
60,5,9997,2
61,3,9997,0
62,3,9997,0
63,3,9997,0
64,3,9997,0
65,3,9997,0
66,3,9997,0
67,3,9998,1
68,2,9998,0
69,2,9998,0
70,2,9999,1
71,1,9999,0
72,1,9999,0
73,1,10000,1
