ntests,atleast,atmost,exactly
0,10000,9866,9866
1,134,9890,24
2,110,9895,5
3,105,9895,0
4,105,9895,0
5,105,9895,0
6,105,9895,0
7,105,9895,0
8,105,9895,0
9,105,9895,0
10,105,9895,0
11,105,9895,0
12,105,9895,0
13,105,9895,0
14,105,9895,0
15,105,9895,0
16,105,9895,0
17,105,9895,0
18,105,9895,0
19,105,9895,0
20,105,9895,0
21,105,9895,0
22,105,9895,0
23,105,9895,0
24,105,9895,0
25,105,9895,0
26,105,9895,0
27,105,9895,0
28,105,9895,0
29,105,9895,0
30,105,9895,0
31,105,9895,0
32,105,9895,0
33,105,9895,0
34,105,9895,0
35,105,9895,0
36,105,9895,0
37,105,9895,0
38,105,9895,0
39,105,9895,0
40,105,9895,0
41,105,9895,0
42,105,9895,0
43,105,9895,0
44,105,9895,0
45,105,9895,0
46,105,9895,0
47,105,9895,0
48,105,9895,0
49,105,9895,0
50,105,9895,0
51,105,9895,0
52,105,9895,0
53,105,9895,0
54,105,9895,0
55,105,9895,0
56,105,9895,0
57,105,9895,0
58,105,9895,0
59,105,9895,0
60,105,9895,0
61,105,9895,0
62,105,9895,0
63,105,9895,0
64,105,9895,0
65,105,9895,0
66,105,9895,0
67,105,9895,0
68,105,9895,0
69,105,9895,0
70,105,9895,0
71,105,9895,0
72,105,9895,0
73,105,9895,0
74,105,9895,0
75,105,9895,0
76,105,9895,0
77,105,9895,0
78,105,9895,0
79,105,9895,0
80,105,9895,0
81,105,9895,0
82,105,9895,0
83,105,9895,0
84,105,9895,0
85,105,9895,0
86,105,9895,0
87,105,9895,0
88,105,9895,0
89,105,9895,0
90,105,9895,0
91,105,9895,0
92,105,9895,0
93,105,9895,0
94,105,9895,0
95,105,9895,0
96,105,9895,0
97,105,9895,0
98,105,9895,0
99,105,9895,0
100,105,9895,0
101,105,9895,0
102,105,9895,0
103,105,9895,0
104,105,9895,0
105,105,9895,0
106,105,9895,0
107,105,9895,0
108,105,9895,0
109,105,9895,0
110,105,9895,0
111,105,9895,0
112,105,9895,0
113,105,9895,0
114,105,9895,0
115,105,9895,0
116,105,9895,0
117,105,9895,0
118,105,9895,0
119,105,9895,0
120,105,9895,0
121,105,9895,0
122,105,9895,0
123,105,9895,0
124,105,9895,0
125,105,9895,0
126,105,9895,0
127,105,9895,0
128,105,9895,0
129,105,9895,0
130,105,9895,0
131,105,9895,0
132,105,9895,0
133,105,9895,0
134,105,9895,0
135,105,9895,0
136,105,9895,0
137,105,9895,0
138,105,9895,0
139,105,9895,0
140,105,9895,0
141,105,9895,0
142,105,9895,0
143,105,9895,0
144,105,9895,0
145,105,9895,0
