ntests,atleast,atmost,exactly
0,10000,0,0
1,10000,0,0
2,10000,0,0
3,10000,0,0
4,10000,0,0
5,10000,0,0
6,10000,0,0
7,10000,0,0
8,10000,0,0
9,10000,0,0
10,10000,0,0
11,10000,0,0
12,10000,0,0
13,10000,0,0
14,10000,0,0
15,10000,0,0
16,10000,0,0
17,10000,0,0
18,10000,0,0
19,10000,0,0
20,10000,0,0
21,10000,0,0
22,10000,0,0
23,10000,0,0
24,10000,0,0
25,10000,0,0
26,10000,0,0
27,10000,0,0
28,10000,0,0
29,10000,1,1
30,9999,3,2
31,9997,5,2
32,9995,7,2
33,9993,11,4
34,9989,20,9
35,9980,31,11
36,9969,46,15
37,9954,66,20
38,9934,112,46
39,9888,158,46
40,9842,223,65
41,9777,304,81
42,9696,401,97
43,9599,535,134
44,9465,719,184
45,9281,945,226
46,9055,1229,284
47,8771,1542,313
48,8458,1883,341
49,8117,2285,402
50,7715,2735,450
51,7265,3203,468
52,6797,3718,515
53,6282,4231,513
54,5769,4775,544
55,5225,5312,537
56,4688,5878,566
57,4122,6416,538
58,3584,6862,446
59,3138,7348,486
60,2652,7805,457
61,2195,8176,371
62,1824,8482,306
63,1518,8765,283
64,1235,8994,229
65,1006,9183,189
66,817,9355,172
67,645,9499,144
68,501,9622,123
69,378,9705,83
70,295,9786,81
71,214,9856,70
72,144,9906,50
73,94,9935,29
74,65,9951,16
75,49,9966,15
76,34,9971,5
77,29,9982,11
78,18,9989,7
79,11,9995,6
80,5,9996,1
81,4,9998,2
82,2,9998,0
83,2,9998,0
84,2,9998,0
85,2,9999,1
86,1,9999,0
87,1,9999,0
88,1,9999,0
89,1,9999,0
90,1,9999,0
91,1,10000,1
