ntests,atleast,atmost,exactly
0,10000,8988,8988
1,1012,9010,22
2,990,9010,0
3,990,9010,0
4,990,9010,0
5,990,9010,0
6,990,9010,0
7,990,9010,0
8,990,9010,0
9,990,9010,0
10,990,9010,0
11,990,9010,0
12,990,9010,0
13,990,9010,0
14,990,9010,0
15,990,9010,0
16,990,9010,0
17,990,9010,0
18,990,9010,0
19,990,9010,0
20,990,9010,0
21,990,9010,0
22,990,9010,0
23,990,9010,0
24,990,9010,0
25,990,9010,0
26,990,9010,0
27,990,9010,0
28,990,9010,0
29,990,9010,0
30,990,9010,0
31,990,9011,1
32,989,9013,2
33,987,9014,1
34,986,9014,0
35,986,9016,2
36,984,9025,9
37,975,9034,9
38,966,9050,16
39,950,9072,22
40,928,9093,21
41,907,9105,12
42,895,9128,23
43,872,9164,36
44,836,9201,37
45,799,9247,46
46,753,9293,46
47,707,9336,43
48,664,9375,39
49,625,9450,75
50,550,9501,51
51,499,9548,47
52,452,9591,43
53,409,9658,67
54,342,9711,53
55,289,9758,47
56,242,9796,38
57,204,9832,36
58,168,9870,38
59,130,9893,23
60,107,9913,20
61,87,9931,18
62,69,9942,11
63,58,9959,17
64,41,9973,14
65,27,9980,7
66,20,9983,3
67,17,9989,6
68,11,9992,3
69,8,9996,4
70,4,9996,0
71,4,9998,2
72,2,9998,0
73,2,9999,1
74,1,9999,0
75,1,10000,1
